,0000001001,0000001111,0000010001,0000110011,0001000101,0001001000,0001010110,0001101101,0001111001,0001111111,0010000000,0011010001,0011111110,0100000110,0100011001,0100100001,0100101100,0100101111,0100110111,0101000000,0101001011,0101011000,0101100101,0101101001,0101101110,0101110000,0110001001,0110001110,0110010011,0110011010,0110011100,0110011111,0110111101,0111000001,0111000010,0111000111,0111011011,0111011101,0111110110,0111111000,1000000001,1000000111,1000011011,1000011101,1000100011,1000110111,1001000011,1001001110,1001010111,1001101111,1010010110,1010011000,1010011111,1010101000,1010101110,1010110101,1011000001,1011101011,1100000010,1100001001,1100010000,1100101011,1101110011,1101111101,1110000110,1110011001,1111000100,1111010010,1111010101,1111011000
0101000000,84,0,51,0,15,45,0,0,0,0,8,0,0,139,0,0,0,0,0,63,0,8,0,0,0,18,0,0,0,0,0,0,0,10,13,0,0,0,0,0,13,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101001011,153,49,0,0,12,27,0,9,0,0,0,0,0,137,0,0,0,0,9,0,0,0,0,12,0,0,40,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,27,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
0101011000,65,0,114,0,0,66,0,0,12,0,14,0,0,95,13,0,10,0,0,54,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0101100101,99,0,100,0,72,0,0,42,0,0,0,0,0,36,0,40,14,5,16,26,0,0,9,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101101001,186,0,30,0,0,21,0,56,31,0,0,0,0,79,11,33,5,0,0,0,8,0,7,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101101110,50,55,40,0,11,0,0,42,0,11,0,0,4,106,0,0,87,9,8,21,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101110000,38,0,144,9,0,17,0,0,14,0,0,0,0,154,0,0,10,0,15,40,0,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0110001001,193,0,23,0,0,22,0,0,0,0,36,0,0,38,19,44,0,0,0,0,0,0,0,9,0,0,63,0,0,0,10,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0
0110001110,82,92,10,0,0,0,0,0,0,0,23,0,0,119,0,0,49,13,0,13,0,0,0,0,15,0,21,0,0,12,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
0110010011,128,0,82,65,0,0,0,0,0,0,0,9,0,122,0,0,0,0,35,0,0,0,0,0,0,0,7,0,0,10,0,7,0,0,14,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0110011010,144,21,19,0,0,16,0,0,0,0,18,0,0,183,0,0,9,0,0,0,0,0,0,0,0,0,9,8,7,0,25,12,0,0,11,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0110011100,66,24,167,0,0,10,0,0,0,0,35,0,0,29,0,0,35,0,0,17,0,0,0,0,0,0,0,13,0,18,45,18,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0110011111,99,141,56,9,0,0,0,0,0,11,0,0,0,12,0,0,17,6,9,0,0,0,0,0,0,0,21,9,16,8,19,0,12,0,0,0,10,17,0,0,0,0,11,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
